,FROM STATION ID,FROM STATION NAME,FROM LONGITUDE,FROM LATITUDE
888,204,Prairie Ave & Garfield Blvd,-87.618691,41.794853
892,84,Union Ave & Grand Ave,-87.645925,41.891000000000005
895,210,Ashland Ave & Division St,-87.66774699999999,41.90345
897,132,Wentworth Ave & 24th St,-87.631715,41.849237
929,37,Dearborn St & Adams St,-87.629791036,41.879356359
942,109,900 W Harrison St,-87.650019,41.874675
954,475,Washtenaw Ave & Lawrence Ave,-87.69616957,41.968711069
964,169,Canal St & Harrison St,-87.639566,41.874337
984,236,Sedgwick St & Schiller St,-87.63851700000001,41.907576
1007,147,Indiana Ave & 26th St,-87.62248000000001,41.8457
1010,298,Lincoln Ave & Belle Plaine Ave,-87.679259,41.955927
1012,234,Clark St & Montrose Ave,-87.666036,41.961588
1071,493,Western Ave & Roscoe St,-87.687394535,41.943026165
1073,209,Normal Ave & Archer Ave,-87.640591,41.849527
1096,32,Racine Ave & Congress Pkwy,-87.65703,41.87464
1111,17,Wood St & Division St,-87.67273,41.90332
1132,15,Racine Ave & 18th St,-87.65649499999999,41.858166
1158,461,Broadway & Ridge Ave,-87.66027383,41.984044611
1160,417,Cornell Ave & Hyde Park Blvd,-87.586924,41.802406
1176,323,Sheridan Rd & Lawrence Ave,-87.654691,41.969516999999996
1197,498,California Ave & Fletcher St,-87.69800775600001,41.938428791
1215,385,Princeton Ave & Garfield Blvd,-87.633124,41.794982
1231,316,Damen Ave & Sunnyside Ave,-87.67925799999999,41.96325
1247,85,Michigan Ave & Oak St,-87.62377664,41.90096039
1250,200,MLK Jr Dr & 47th St,-87.616279,41.809851
1256,324,Stockton Dr & Wrightwood Ave,-87.63874200000001,41.93132
1258,414,Canal St & Taylor St,-87.63947399999999,41.870257
1265,457,Clark St & Elmdale Ave,-87.66958339799999,41.99089375
1283,248,Woodlawn Ave & 55th St,-87.596471,41.795264
1288,265,Cottage Grove Ave & Oakwood Blvd,-87.6071,41.822984999999996
1326,145,Mies van der Rohe Way & Chestnut St,-87.621915226,41.898586651
1334,76,Lake Shore Dr & Monroe St,-87.616743,41.880958
1335,326,Clark St & Leland Ave,-87.667429,41.967096000000005
1344,504,Campbell Ave & Fullerton Ave,-87.689307006,41.924632472
1353,194,Wabash Ave & Wacker Pl,-87.62603,41.886875
1355,370,Calumet Ave & 21st St,-87.61915374200001,41.854184249
1369,117,Wilton Ave & Belmont Ave,-87.65304,41.94018
1403,60,Dayton St & North Ave,-87.649421929,41.910578035
1430,383,Ashland Ave & Harrison St,-87.667245636,41.874290614
1440,122,Ogden Ave & Congress Pkwy,-87.67328,41.875009999999996
1465,449,Clark St & Columbia Ave,-87.672402405,42.004450629000004
1481,258,Logan Blvd & Elston Ave,-87.685126,41.930584
1490,425,Harper Ave & 59th St,-87.58831517,41.787942813
1500,510,Spaulding Ave & Division St,-87.709219571,41.902706594
1511,336,Cottage Grove Ave & 47th St,-87.606755,41.809855
1547,160,Campbell Ave & North Ave,-87.68955600000001,41.910534999999996
1555,3,Shedd Aquarium,-87.61535539,41.867225956999995
1569,20,Sheffield Ave & Kingsbury St,-87.65349723,41.90959193
1584,452,Western Ave & Granville Ave,-87.68943828200001,41.994161369000004
1589,470,Kedzie Ave & Foster Ave,-87.709261,41.975671999999996
1606,279,Halsted St & 35th St (*),-87.647172,41.830661
1617,262,Halsted St & 37th St,-87.64572,41.827059000000006
1624,402,Shields Ave & 31st St,-87.635406,41.838464
1630,19,Loomis St & Taylor St (*),-87.660996,41.869417
1632,51,Clark St & Randolph St,-87.63188991,41.884576228
1641,22,May St & Taylor St,-87.6554864,41.8694821
1650,502,California Ave & Altgeld St,-87.69789899999999,41.926618
1685,222,Milwaukee Ave & Rockwell St,-87.693033,41.920195
1699,62,McCormick Place,-87.618834649,41.851375173
1707,240,Sheridan Rd & Irving Park Rd,-87.65440600000001,41.954245
1740,328,Ellis Ave & 58th St,-87.601334,41.788746
1753,228,Damen Ave & Melrose Ave,-87.6785,41.9406
1756,206,Halsted St & Archer Ave,-87.646795,41.847203
1794,277,Ashland Ave & Grand Ave,-87.666611,41.891071999999994
1800,341,Adler Planetarium,-87.60726700000001,41.866095
1840,482,Campbell Ave & Montrose Ave,-87.691165041,41.961525933000004
1841,115,Sheffield Ave & Wellington Ave,-87.653566,41.936253
1847,180,Ritchie Ct & Banks St,-87.626402,41.906782
1848,439,Kedzie Ave & 21st St,-87.705073032,41.853533632
1891,281,Western Ave & 24th St,-87.685109,41.84847
1892,121,Blackstone Ave & Hyde Park Blvd,-87.59036800000001,41.802562
1922,501,Richmond St & Diversey Ave,-87.70119513,41.931901969
1929,280,Morgan St & 31st St,-87.65114,41.8378
1961,434,Ogden Ave & Roosevelt Rd,-87.68469707,41.866501483
1986,34,Cannon Dr & Fullerton Ave,-87.634428785,41.926755988000004
2001,317,Wood St & Taylor St,-87.67104499999999,41.869153999999995
